,set01,set02,set03,set04,set05,set06,row
1088640000,1.00234,1.00234,1.00234,1.00234,1.00234,1.00234,7/1/04 0:00
1088726400,1.00284,1.00337,1.00231,1.00029,1.00048,0.99987,7/2/04 0:00
1088985600,1.00433,1.00589,1.0038,1.00251,1.00311,1.00238,7/5/04 0:00
1089072000,1.00198,1.00295,1.00121,1.00295,1.00307,1.00293,7/6/04 0:00
1089158400,1.00428,1.00508,1.00384,1.00285,1.003,1.00268,7/7/04 0:00
1089244800,1.00231,1.00308,1.00153,1.00423,1.00646,1.00401,7/8/04 0:00
1089331200,1.00254,1.00348,1.00195,1.00516,1.0076,1.00468,7/9/04 0:00
1089590400,1.00338,1.00446,1.00291,1.00645,1.00856,1.0057,7/12/04 0:00
1089676800,1.00323,1.00424,1.00263,1.00665,1.00895,1.00634,7/13/04 0:00
1089763200,1.00334,1.00435,1.00252,1.00573,1.00881,1.00607,7/14/04 0:00
1089849600,1.00261,1.00371,1.00165,1.00572,1.00846,1.00609,7/15/04 0:00
1089936000,1.0029,1.0041,1.00223,1.00656,1.00907,1.00643,7/16/04 0:00
1090195200,1.00315,1.00415,1.0022,1.00616,1.00907,1.00672,7/19/04 0:00
1090281600,1.00365,1.00456,1.00233,1.00614,1.00836,1.00639,7/20/04 0:00
1090368000,1.00379,1.00494,1.00261,1.00765,1.00988,1.00788,7/21/04 0:00
1090454400,1.00386,1.00513,1.00289,1.00538,1.00777,1.00543,7/22/04 0:00
1090540800,1.00421,1.00538,1.00308,1.00607,1.00838,1.00607,7/23/04 0:00
1090800000,1.00657,1.00768,1.00573,1.00653,1.00905,1.00745,7/26/04 0:00
1090886400,1.00532,1.00665,1.00417,1.00672,1.00893,1.00754,7/27/04 0:00
1090972800,1.00573,1.00718,1.00483,1.00579,1.00838,1.00679,7/28/04 0:00
1091059200,1.00463,1.00544,1.00286,1.00486,1.0072,1.00582,7/29/04 0:00
1091145600,1.00516,1.00625,1.00338,1.00557,1.00807,1.00661,7/30/04 0:00
1091404800,1.00656,1.00792,1.00531,1.00685,1.0063,1.00782,8/2/04 0:00
1091491200,1.00658,1.00762,1.00471,1.00843,1.00896,1.009,8/3/04 0:00
1091577600,1.00629,1.00762,1.00467,1.00828,1.00904,1.00802,8/4/04 0:00
1091664000,1.00642,1.00799,1.00497,1.00899,1.00957,1.00874,8/5/04 0:00
1091750400,1.00641,1.00835,1.00521,1.01043,1.01063,1.01009,8/6/04 0:00
1092009600,1.00746,1.00942,1.00656,1.01122,1.01159,1.01107,8/9/04 0:00
1092096000,1.00796,1.01024,1.0071,1.01232,1.01253,1.01198,8/10/04 0:00
1092182400,1.00769,1.01022,1.00679,1.01225,1.01255,1.01209,8/11/04 0:00
1092268800,1.00783,1.01039,1.00657,1.01206,1.01246,1.01164,8/12/04 0:00
1092355200,1.00839,1.01085,1.00729,1.01269,1.01305,1.0121,8/13/04 0:00
1092614400,1.00876,1.01138,1.00769,1.01366,1.01372,1.01329,8/16/04 0:00
1092700800,1.01042,1.01319,1.00961,1.01451,1.01474,1.01422,8/17/04 0:00
1092787200,1.01025,1.0127,1.00896,1.01443,1.01433,1.01377,8/18/04 0:00
1092873600,1.01174,1.01434,1.01096,1.01467,1.01482,1.01412,8/19/04 0:00
1092960000,1.01242,1.0149,1.01151,1.01472,1.01466,1.01391,8/20/04 0:00
1093219200,1.01358,1.0162,1.01295,1.01531,1.01526,1.01471,8/23/04 0:00
1093305600,1.01296,1.01536,1.01194,1.01517,1.01511,1.01462,8/24/04 0:00
1093392000,1.0136,1.016,1.01268,1.01483,1.01483,1.01405,8/25/04 0:00
1093478400,1.01399,1.01641,1.01306,1.01529,1.0153,1.01466,8/26/04 0:00
1093564800,1.015,1.01781,1.01447,1.01637,1.01638,1.01556,8/27/04 0:00
1093824000,1.01493,1.01763,1.01416,1.0169,1.01652,1.01647,8/30/04 0:00
1093910400,1.01558,1.01824,1.01457,1.0178,1.01728,1.01706,8/31/04 0:00
1093996800,1.01557,1.01822,1.01443,1.01823,1.01754,1.01761,9/1/04 0:00
1094083200,1.01523,1.01811,1.01425,1.01897,1.01818,1.01853,9/2/04 0:00
1094169600,1.01488,1.01801,1.014,1.01919,1.0183,1.0186,9/3/04 0:00
1094515200,1.01535,1.01833,1.01456,1.01846,1.01787,1.01779,9/7/04 0:00
1094601600,1.01627,1.01919,1.01543,1.01819,1.01786,1.01728,9/8/04 0:00
1094688000,1.01716,1.01992,1.01648,1.01866,1.0184,1.0176,9/9/04 0:00
1094774400,1.01608,1.01906,1.01493,1.01882,1.01828,1.018,9/10/04 0:00
1095033600,1.01622,1.01899,1.01525,1.01978,1.01905,1.01906,9/13/04 0:00
1095120000,1.01651,1.01944,1.01562,1.01999,1.01934,1.01936,9/14/04 0:00
1095206400,1.01754,1.02055,1.01696,1.02057,1.0198,1.01976,9/15/04 0:00
1095292800,1.01734,1.02012,1.01631,1.02096,1.01982,1.0201,9/16/04 0:00
1095379200,1.01817,1.02073,1.01691,1.02073,1.0199,1.01989,9/17/04 0:00
1095638400,1.01834,1.02079,1.01717,1.02167,1.02068,1.02079,9/20/04 0:00
1095724800,1.01897,1.02138,1.01763,1.02227,1.02122,1.02141,9/21/04 0:00
1095897600,1.01841,1.02082,1.01673,1.02255,1.02151,1.02179,9/23/04 0:00
1095984000,1.01845,1.02139,1.017,1.02369,1.0227,1.02349,9/24/04 0:00
1096243200,1.01888,1.02145,1.01687,1.02419,1.02283,1.02359,9/27/04 0:00
1096329600,1.01857,1.02113,1.01654,1.0244,1.02299,1.02394,9/28/04 0:00
1096416000,1.01956,1.02221,1.01741,1.02455,1.02326,1.02404,9/29/04 0:00
1096502400,1.01942,1.02191,1.01682,1.02515,1.02374,1.02463,9/30/04 0:00
1096588800,1.02239,1.02556,1.02095,1.02599,1.02416,1.02483,10/1/04 0:00
1096848000,1.02191,1.0248,1.01984,1.02581,1.02416,1.02499,10/4/04 0:00
1096934400,1.02211,1.02498,1.0198,1.02597,1.02418,1.02495,10/5/04 0:00
1097020800,1.02223,1.02543,1.0208,1.02629,1.02485,1.02545,10/6/04 0:00
1097107200,1.023,1.02609,1.02162,1.02687,1.02519,1.02599,10/7/04 0:00
1097193600,1.02352,1.02651,1.02231,1.02739,1.02592,1.02687,10/8/04 0:00
1097452800,1.02222,1.02527,1.02083,1.0274,1.02565,1.02686,10/11/04 0:00
1097539200,1.02355,1.02718,1.02254,1.03039,1.02818,1.02983,10/12/04 0:00
1097625600,1.0242,1.02773,1.02349,1.02956,1.02792,1.02883,10/13/04 0:00
1097712000,1.02351,1.02738,1.02303,1.02996,1.02791,1.02914,10/14/04 0:00
1097798400,1.02595,1.02983,1.0262,1.03033,1.02814,1.02951,10/15/04 0:00
1098057600,1.02804,1.03229,1.02882,1.03124,1.02881,1.03032,10/18/04 0:00
1098144000,1.02815,1.03181,1.02853,1.0315,1.02898,1.03038,10/19/04 0:00
1098230400,1.02881,1.03157,1.0297,1.03116,1.02887,1.03028,10/20/04 0:00
1098316800,1.0329,1.03502,1.03355,1.0321,1.02937,1.03135,10/21/04 0:00
1098403200,1.03663,1.04067,1.03993,1.03212,1.02944,1.03148,10/22/04 0:00
1098662400,1.03891,1.0422,1.04331,1.03231,1.02974,1.03183,10/25/04 0:00
1098748800,1.03739,1.04107,1.04162,1.03341,1.03071,1.0329,10/26/04 0:00
1098835200,1.03569,1.04013,1.0393,1.0337,1.03098,1.03341,10/27/04 0:00
1098921600,1.03633,1.04067,1.03992,1.03429,1.03176,1.03386,10/28/04 0:00
1099008000,1.0387,1.04283,1.04263,1.03332,1.03066,1.03273,10/29/04 0:00
1099267200,1.04046,1.0444,1.04463,1.03412,1.03124,1.03345,11/1/04 0:00
1099353600,1.04243,1.0459,1.04702,1.03445,1.03164,1.03388,11/2/04 0:00
1099440000,1.04326,1.0464,1.04807,1.03419,1.03127,1.03348,11/3/04 0:00
1099526400,1.04449,1.04733,1.04947,1.03445,1.03145,1.03377,11/4/04 0:00
1099612800,1.04578,1.04863,1.04992,1.03541,1.03225,1.03476,11/5/04 0:00
1099872000,1.04641,1.04914,1.0508,1.0361,1.03277,1.03538,11/8/04 0:00
1099958400,1.04927,1.05188,1.05456,1.03587,1.03261,1.03525,11/9/04 0:00
1100044800,1.05143,1.05392,1.05722,1.03669,1.03329,1.03607,11/10/04 0:00
1100131200,1.05604,1.05845,1.06334,1.03713,1.03365,1.03648,11/11/04 0:00
1100217600,1.06214,1.064,1.07121,1.03802,1.03444,1.03736,11/12/04 0:00
1100476800,1.06525,1.06572,1.0733,1.03852,1.0349,1.03795,11/15/04 0:00
1100563200,1.06884,1.06818,1.07704,1.03951,1.03575,1.03906,11/16/04 0:00
1100649600,1.07183,1.07089,1.08047,1.03989,1.03629,1.0396,11/17/04 0:00
1100736000,1.0784,1.07923,1.08729,1.04077,1.03703,1.04063,11/18/04 0:00
1100822400,1.07389,1.07411,1.08286,1.04098,1.03712,1.04064,11/19/04 0:00
1101081600,1.07846,1.07862,1.08752,1.04164,1.03769,1.04131,11/22/04 0:00
1101168000,1.08136,1.08148,1.09057,1.04225,1.03819,1.04205,11/23/04 0:00
1101254400,1.08958,1.08971,1.09919,1.04291,1.03879,1.04276,11/24/04 0:00
1101340800,1.08121,1.08178,1.09104,1.04294,1.03869,1.04281,11/25/04 0:00
1101427200,1.08124,1.08175,1.09122,1.04374,1.03941,1.04368,11/26/04 0:00
1101686400,1.08932,1.08471,1.08492,1.04411,1.0399,1.04411,11/29/04 0:00
1101772800,1.08977,1.08491,1.08514,1.0443,1.04026,1.04419,11/30/04 0:00
1101859200,1.09051,1.08532,1.08373,1.04517,1.04113,1.04512,12/1/04 0:00
1101945600,1.0913,1.08574,1.07642,1.0457,1.04162,1.04572,12/2/04 0:00
1102032000,1.09278,1.08685,1.07707,1.04614,1.04197,1.04691,12/3/04 0:00
1102377600,1.09353,1.08808,1.07813,1.0459,1.04186,1.04595,12/7/04 0:00
1102464000,1.09474,1.08953,1.08247,1.04921,1.04484,1.04976,12/8/04 0:00
