date,set06
1088640000000,1.00234
1088726400000,0.99987
1088985600000,1.00238
1089072000000,1.00293
1089158400000,1.00268
1089244800000,1.00401
1089331200000,1.00468
1089590400000,1.0057
1089676800000,1.00634
1089763200000,1.00607
1089849600000,1.00609
1089936000000,1.00643
1090195200000,1.00672
1090281600000,1.00639
1090368000000,1.00788
1090454400000,1.00543
1090540800000,1.00607
1090800000000,1.00745
1090886400000,1.00754
1090972800000,1.00679
1091059200000,1.00582
1091145600000,1.00661
1091404800000,1.00782
1091491200000,1.009
1091577600000,1.00802
1091664000000,1.00874
1091750400000,1.01009
1092009600000,1.01107
1092096000000,1.01198
1092182400000,1.01209
1092268800000,1.01164
1092355200000,1.0121
1092614400000,1.01329
1092700800000,1.01422
1092787200000,1.01377
1092873600000,1.01412
1092960000000,1.01391
1093219200000,1.01471
1093305600000,1.01462
1093392000000,1.01405
1093478400000,1.01466
1093564800000,1.01556
1093824000000,1.01647
1093910400000,1.01706
1093996800000,1.01761
1094083200000,1.01853
1094169600000,1.0186
1094515200000,1.01779
1094601600000,1.01728
1094688000000,1.0176
1094774400000,1.018
1095033600000,1.01906
1095120000000,1.01936
1095206400000,1.01976
1095292800000,1.0201
1095379200000,1.01989
1095638400000,1.02079
1095724800000,1.02141
1095897600000,1.02179
1095984000000,1.02349
1096243200000,1.02359
1096329600000,1.02394
1096416000000,1.02404
1096502400000,1.02463
1096588800000,1.02483
1096848000000,1.02499
1096934400000,1.02495
1097020800000,1.02545
1097107200000,1.02599
1097193600000,1.02687
1097452800000,1.02686
1097539200000,1.02983
1097625600000,1.02883
1097712000000,1.02914
1097798400000,1.02951
1098057600000,1.03032
1098144000000,1.03038
1098230400000,1.03028
1098316800000,1.03135
1098403200000,1.03148
1098662400000,1.03183
1098748800000,1.0329
1098835200000,1.03341
1098921600000,1.03386
1099008000000,1.03273
1099267200000,1.03345
1099353600000,1.03388
1099440000000,1.03348
1099526400000,1.03377
1099612800000,1.03476
1099872000000,1.03538
1099958400000,1.03525
1100044800000,1.03607
1100131200000,1.03648
1100217600000,1.03736
1100476800000,1.03795
1100563200000,1.03906
1100649600000,1.0396
1100736000000,1.04063
1100822400000,1.04064
1101081600000,1.04131
1101168000000,1.04205
1101254400000,1.04276
1101340800000,1.04281
1101427200000,1.04368
1101686400000,1.04411
1101772800000,1.04419
1101859200000,1.04512
1101945600000,1.04572
1102032000000,1.04691
1102377600000,1.04595
1102464000000,1.04976
1102550400000,1.05041
1102636800000,1.05163
1102723200000,1.05385
1102896000000,1.05409
1102982400000,1.05474
1103068800000,1.05714
1103155200000,1.05929
1103241600000,1.05983
1103500800000,1.06032
1103587200000,1.06119
1103673600000,1.06158
1103760000000,1.06187
1104105600000,1.06205
1104192000000,1.06212
1104278400000,1.06278
1104364800000,1.0631
1104451200000,1.06331
1104710400000,1.0667
1104796800000,1.06773
1104883200000,1.06879
1104969600000,1.06982
1105056000000,1.06988
1105315200000,1.07117
1105401600000,1.07234
1105488000000,1.07403
1105574400000,1.07469
1105660800000,1.0765
1105920000000,1.07665
1106006400000,1.07806
1106092800000,1.07769
1106179200000,1.07919
1106265600000,1.07871
1106524800000,1.07967
1106611200000,1.08027
1106697600000,1.07977
1106784000000,1.07942
1106870400000,1.07931
1107129600000,1.08091
1107216000000,1.08062
1107302400000,1.08158
1107388800000,1.08134
1107475200000,1.08218
1107734400000,1.08266
1107820800000,1.08324
1107907200000,1.08344
1107993600000,1.08235
1108080000000,1.08496
1108339200000,1.08528
1108425600000,1.08467
1108512000000,1.08595
1108598400000,1.08622
1108684800000,1.08564
1108944000000,1.08446
1109030400000,1.08477
1109116800000,1.08485
1109203200000,1.08521
1109289600000,1.0852
1109548800000,1.08589
1109635200000,1.08552
1109721600000,1.08607
1110153600000,1.0858
1110240000000,1.0872
1110326400000,1.08858
1110412800000,1.08787
1110499200000,1.08789
1110585600000,1.0883
1110758400000,1.08857
1110844800000,1.0884
1110931200000,1.08894
1111017600000,1.08945
1111104000000,1.08952
1111363200000,1.08915
1111449600000,1.0892
1111536000000,1.08927
1111622400000,1.08885
1111708800000,1.08908
1111968000000,1.08974
1112054400000,1.08989
1112140800000,1.08989
1112227200000,1.09061
1112313600000,1.09113
1112572800000,1.09159
1112659200000,1.09223
1112745600000,1.09218
1112832000000,1.09216
1112918400000,1.09288
1113177600000,1.09261
1113264000000,1.09501
1113350400000,1.09419
1113436800000,1.09502
1113523200000,1.09499
1113782400000,1.0946
1113868800000,1.09514
1113955200000,1.09611
1114041600000,1.09561
1114128000000,1.09542
1114387200000,1.09638
1114473600000,1.09703
1114560000000,1.09777
1114646400000,1.09779
1114732800000,1.09865
1115078400000,1.09936
1115164800000,1.09892
1115251200000,1.09897
1115596800000,1.1001
1115683200000,1.10102
1115769600000,1.10267
1115856000000,1.10352
1115942400000,1.10443
1116201600000,1.10596
1116288000000,1.10603
1116374400000,1.10657
1116460800000,1.10674
1116547200000,1.10742
1116979200000,1.10788
1117065600000,1.10944
1117152000000,1.10976
1117238400000,1.10992
1117411200000,1.11034
1117497600000,1.11072
1117584000000,1.11218
1117670400000,1.1138
1117756800000,1.11439
1118016000000,1.11522
1118102400000,1.11526
1118188800000,1.11679
1118275200000,1.11728
1118361600000,1.11816
1118620800000,1.11929
1118707200000,1.11969
1118793600000,1.11912
1118880000000,1.11895
1118966400000,1.11684
1119225600000,1.11714
1119312000000,1.11688
1119398400000,1.1193
1119484800000,1.12144
1119571200000,1.12198
1119830400000,1.12265
1119916800000,1.12286
1120003200000,1.12354
1120089600000,1.12408
1120176000000,1.12367
1120435200000,1.12434
1120521600000,1.12618
1120608000000,1.12578
